spt,survey,Number/Sq. Deg,Model,Distance
27,Imaging,2274.616,H=600 pc,5842.0
28,Imaging,2383.305,H=600 pc,5770.0
29,Imaging,2476.927,H=600 pc,5711.0
30,Imaging,2583.449,H=600 pc,5621.0
31,Imaging,2685.807,H=600 pc,5465.0
32,Imaging,2747.273,H=600 pc,5214.0
33,Imaging,2763.533,H=600 pc,4857.0
34,Imaging,2720.676,H=600 pc,4401.0
35,Imaging,2570.299,H=600 pc,3869.0
36,Imaging,2402.892,H=600 pc,3301.0
37,Imaging,2246.729,H=600 pc,2739.0
38,Imaging,1939.774,H=600 pc,2221.0
39,Imaging,1531.738,H=600 pc,1773.0
15,Imaging,17.416,Thick Disk,60799.0
16,Imaging,109.025,Thick Disk,41840.0
17,Imaging,227.121,Thick Disk,29277.0
18,Imaging,274.871,Thick Disk,21058.0
19,Imaging,293.415,Thick Disk,15689.0
20,Imaging,313.458,Thick Disk,12165.0
21,Imaging,333.391,Thick Disk,9839.0
22,Imaging,342.067,Thick Disk,8298.0
23,Imaging,337.011,Thick Disk,7282.0
24,Imaging,330.011,Thick Disk,6625.0
25,Imaging,324.889,Thick Disk,6214.0
26,Imaging,322.471,Thick Disk,5973.0
27,Imaging,322.471,Thick Disk,5842.0
28,Imaging,324.284,Thick Disk,5770.0
29,Imaging,326.037,Thick Disk,5711.0
30,Imaging,327.804,Thick Disk,5621.0
31,Imaging,326.441,Thick Disk,5465.0
32,Imaging,318.045,Thick Disk,5214.0
33,Imaging,301.972,Thick Disk,4857.0
34,Imaging,277.1,Thick Disk,4401.0
35,Imaging,242.037,Thick Disk,3869.0
36,Imaging,208.301,Thick Disk,3301.0
37,Imaging,187.739,Thick Disk,2739.0
38,Imaging,174.762,Thick Disk,2221.0
39,Imaging,148.279,Thick Disk,1773.0
15,Imaging,37.825,Halo,60799.0
16,Imaging,188.336,Halo,41840.0
17,Imaging,294.271,Halo,29277.0
18,Imaging,262.817,Halo,21058.0
19,Imaging,203.051,Halo,15689.0
20,Imaging,157.689,Halo,12165.0
21,Imaging,125.628,Halo,9839.0
22,Imaging,101.352,Halo,8298.0
23,Imaging,82.89,Halo,7282.0
24,Imaging,70.922,Halo,6625.0
25,Imaging,63.753,Halo,6214.0
26,Imaging,59.886,Halo,5973.0
27,Imaging,58.011,Halo,5842.0
28,Imaging,57.27,Halo,5770.0
29,Imaging,56.709,Halo,5711.0
30,Imaging,55.639,Halo,5621.0
31,Imaging,53.164,Halo,5465.0
32,Imaging,48.558,Halo,5214.0
33,Imaging,41.938,Halo,4857.0
34,Imaging,33.828,Halo,4401.0
35,Imaging,25.157,Halo,3869.0
36,Imaging,17.803,Halo,3301.0
37,Imaging,12.95,Halo,2739.0
38,Imaging,9.84,Halo,2221.0
39,Imaging,7.071,Halo,1773.0
